parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
115,2024-04-29 07:45:00+00:00,116505,2024-04-29 09:45:00+00:00,116513,2024-04-29 07:45:00+00:00,116513,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,62336.0,62660.01,62325.3,62536.01,334.7099999999991,116601,0.39817561272189644,0.39817561272189644,0.20974805917517492,115,62368.655,False,,,NO_FILL,0.0,0.0,0.0,0.005366638097294212,,54,2,True,False,0.0
116,2024-05-01 11:45:00+00:00,116713,2024-05-01 12:00:00+00:00,116714,2024-05-01 11:45:00+00:00,116714,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,57898.46,58250.0,57729.89,58220.01,520.1100000000006,116809,0.38278234525095245,0.38278234525095245,0.2339581002127268,116,57959.955,True,2024-05-01 12:15:00+00:00,116715.0,SL,-1.0,0.05571893926284819,-1.055718939262848,0.008973609451560142,2024-05-01 13:30:00+00:00,54,2,True,True,-1.055718939262848
117,2024-05-06 11:45:00+00:00,117193,2024-05-06 12:15:00+00:00,117195,2024-05-06 11:45:00+00:00,117195,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,64164.75,64164.76,63750.04,63821.01,414.72000000000116,117289,0.38260213376303837,0.38260213376303837,0.1594260223819036,117,64028.37,True,2024-05-06 12:30:00+00:00,117196.0,TP,1.5,0.0771946976273146,1.4228053023726854,0.006477128810244602,2024-05-06 12:45:00+00:00,54,3,True,True,1.4228053023726854
118,2024-05-16 03:45:00+00:00,118121,2024-05-16 04:00:00+00:00,118122,2024-05-16 03:45:00+00:00,118122,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65975.39,66006.42,65893.33,65920.28,113.08999999999651,118217,0.3439796960276917,0.3439796960276917,0.13870184037102867,118,65976.825,False,,,NO_FILL,0.0,0.0,0.0,0.0017140867266649542,,55,0,False,False,0.0
119,2024-05-19 11:45:00+00:00,118441,2024-05-19 12:15:00+00:00,118443,2024-05-19 11:45:00+00:00,118443,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67245.99,67246.0,66852.92,66900.01,393.08000000000175,118537,0.334875251782127,0.334875251782127,0.13210551890789066,119,67096.54999999999,False,,,NO_FILL,0.0,0.0,0.0,0.005858423421174439,,55,0,False,False,0.0
120,2024-06-05 03:45:00+00:00,120041,2024-06-05 05:00:00+00:00,120046,2024-06-05 03:45:00+00:00,120046,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,71168.54,71196.0,70900.12,70900.12,295.88000000000466,120137,0.3298581389651061,0.3298581389651061,0.16137027246231708,120,71048.06,True,2024-06-05 05:15:00+00:00,120047.0,SL,-1.0,0.12006228876571394,-1.120062288765714,0.004164504984372616,2024-06-05 07:30:00+00:00,56,0,False,False,0.0
121,2024-06-18 03:45:00+00:00,121289,2024-06-18 04:15:00+00:00,121291,2024-06-18 03:45:00+00:00,121291,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65582.26,65769.25,65544.37,65704.0,224.88000000000466,121385,0.3805891534521009,0.3805891534521009,0.20648693506090832,121,65591.56,True,2024-06-18 04:30:00+00:00,121292.0,SL,-1.0,0.14583680184987247,-1.1458368018498724,0.0034284898849791753,2024-06-18 10:00:00+00:00,57,0,False,False,0.0
122,2024-07-20 19:45:00+00:00,124425,2024-07-20 21:00:00+00:00,124430,2024-07-20 19:45:00+00:00,124430,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67339.28,67342.7,66790.9,67081.41,551.8000000000029,124521,0.3279668811870316,0.3279668811870316,0.11661554638782413,122,67357.31,False,,,NO_FILL,0.0,0.0,0.0,0.008192132375832748,,58,0,False,False,0.0
123,2024-07-22 03:45:00+00:00,124553,2024-07-22 04:30:00+00:00,124556,2024-07-22 03:45:00+00:00,124556,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67915.99,67942.01,67806.0,67860.01,136.00999999999476,124649,0.38411950469989553,0.38411950469989553,0.132157628154266,123,67928.01499999998,True,2024-07-22 04:45:00+00:00,124557.0,TP,1.5,0.2497169877215006,1.2502830122784994,0.002002266664203198,2024-07-22 05:15:00+00:00,58,0,False,False,0.0
124,2024-07-29 07:45:00+00:00,125241,2024-07-29 08:30:00+00:00,125244,2024-07-29 07:45:00+00:00,125244,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,69595.99,69632.0,69375.0,69410.01,257.0,125337,0.33355775380883196,0.33355775380883196,0.19144346652771776,124,69538.51,True,2024-07-29 09:00:00+00:00,125246.0,SL,-1.0,0.1352889299610895,-1.1352889299610895,0.0036957938845684213,2024-07-29 11:00:00+00:00,59,0,False,False,0.0
125,2024-08-03 03:45:00+00:00,125705,2024-08-03 05:45:00+00:00,125713,2024-08-03 03:45:00+00:00,125713,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,61584.0,61720.34,61579.96,61693.99,140.37999999999738,125801,0.3958509552338625,0.3958509552338625,0.25092180734554487,125,61623.8,False,,,NO_FILL,0.0,0.0,0.0,0.0022780159613655336,,59,1,True,False,0.0
126,2024-08-27 23:45:00+00:00,128089,2024-08-28 01:45:00+00:00,128097,2024-08-27 23:45:00+00:00,128097,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,59181.12,59459.45,59100.0,59383.63,359.4499999999971,128185,0.38970286219793565,0.38970286219793565,0.19649305583369073,126,59203.905,True,2024-08-28 02:15:00+00:00,128099.0,SL,-1.0,0.08235346362498328,-1.0823534636249832,0.006071390054422881,2024-08-28 07:30:00+00:00,60,0,False,False,0.0
127,2024-09-02 03:45:00+00:00,128585,2024-09-02 05:15:00+00:00,128591,2024-09-02 03:45:00+00:00,128591,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,57526.0,57700.08,57510.67,57694.01,189.4100000000035,128681,0.357383841052116,0.357383841052116,0.19051704867375704,127,57599.305,False,,,NO_FILL,0.0,0.0,0.0,0.0032884077333919827,,60,1,True,False,0.0
128,2024-09-12 03:45:00+00:00,129545,2024-09-12 04:30:00+00:00,129548,2024-09-12 03:45:00+00:00,129548,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,58371.99,58388.0,58239.83,58327.54,148.16999999999825,129641,0.3470124734692974,0.3470124734692974,0.1644413963789649,128,58401.625,False,,,NO_FILL,0.0,0.0,0.0,0.002537086938933604,,61,0,False,False,0.0
129,2024-09-27 11:45:00+00:00,131017,2024-09-27 13:00:00+00:00,131022,2024-09-27 11:45:00+00:00,131022,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65741.19,65791.95,65632.0,65644.0,159.9499999999971,131113,0.3259746518296619,0.3259746518296619,0.13687094628812807,129,65723.975,True,2024-09-27 13:15:00+00:00,131023.0,TP,1.5,0.20545162550797502,1.294548374492025,0.0024336629061160265,2024-09-27 13:30:00+00:00,62,0,False,False,0.0
130,2024-10-21 03:45:00+00:00,133289,2024-10-21 04:15:00+00:00,133291,2024-10-21 03:45:00+00:00,133291,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,68857.45,68895.49,68796.38,68807.98,99.11000000000058,133385,0.38932208997738915,0.38932208997738915,0.17486683724419963,130,68857.535,True,2024-10-21 04:30:00+00:00,133292.0,SL,-1.0,0.34737935122590863,-1.3473793512259087,0.0014393486493526173,2024-10-21 04:45:00+00:00,63,0,False,False,0.0
131,2024-11-26 23:45:00+00:00,136825,2024-11-27 00:00:00+00:00,136826,2024-11-26 23:45:00+00:00,136826,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,91965.16,92428.58,91812.0,92427.99,616.5800000000017,136921,0.3604776674300855,0.3604776674300855,0.21103380786589915,131,92119.70000000001,True,2024-11-27 00:30:00+00:00,136828.0,TP,1.5,0.07470214732881358,1.4252978526711864,0.0066932480240383075,2024-11-27 04:15:00+00:00,64,0,False,False,0.0
132,2024-12-05 23:45:00+00:00,137689,2024-12-06 00:30:00+00:00,137692,2024-12-05 23:45:00+00:00,137692,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,96911.77,97757.51,96878.68,97479.98,878.8300000000017,137785,0.37515765145557495,0.37515765145557495,0.17743062059599501,132,97040.565,False,,,NO_FILL,0.0,0.0,0.0,0.009056315778870432,,65,0,False,False,0.0
133,2024-12-15 07:45:00+00:00,138585,2024-12-15 13:00:00+00:00,138606,2024-12-15 07:45:00+00:00,138606,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,102946.55,102987.43,102654.0,102800.01,333.429999999993,138681,0.45234814587017813,0.45234814587017813,0.10194266304563353,133,102966.72499999999,True,2024-12-15 14:00:00+00:00,138610.0,SL,-1.0,0.15440530996011478,-1.1544053099601148,0.0032382306031389562,2024-12-15 16:30:00+00:00,66,0,False,False,0.0
134,2024-12-15 19:45:00+00:00,138633,2024-12-15 20:45:00+00:00,138637,2024-12-15 19:45:00+00:00,138637,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,103168.14,103198.33,103066.67,103144.83,131.6600000000035,138729,0.37928400820702657,0.37928400820702657,0.07691993358212565,134,103210.66,False,,,NO_FILL,0.0,0.0,0.0,0.0012756434267545958,,66,1,True,False,0.0
135,2025-01-06 07:45:00+00:00,140697,2025-01-06 08:30:00+00:00,140700,2025-01-06 07:45:00+00:00,140700,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,99395.08,99426.38,99000.0,99046.63,426.38000000000466,140793,0.3690830595381484,0.3690830595381484,0.1530121651200249,135,99259.82,False,,,NO_FILL,0.0,0.0,0.0,0.00429559513607827,,67,0,False,False,0.0
136,2025-01-07 03:45:00+00:00,140777,2025-01-07 04:45:00+00:00,140781,2025-01-07 03:45:00+00:00,140781,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,101780.41,101812.0,101667.01,101667.02,144.99000000000524,140873,0.3666170275687875,0.3666170275687875,0.14791210304002844,136,101739.51500000001,True,2025-01-07 05:00:00+00:00,140782.0,SL,-1.0,0.35085011035242547,-1.3508501103524255,0.0014251099978214484,2025-01-07 06:15:00+00:00,67,0,False,False,0.0
137,2025-01-08 19:45:00+00:00,140937,2025-01-08 20:30:00+00:00,140940,2025-01-08 19:45:00+00:00,140940,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94012.49,94238.74,93968.19,94201.03,270.5500000000029,141033,0.364661722879019,0.364661722879019,0.20525789702497826,137,94065.755,True,2025-01-08 20:45:00+00:00,140941.0,SL,-1.0,0.173841720569209,-1.173841720569209,0.0028761795405777895,2025-01-08 21:00:00+00:00,67,1,True,True,-1.173841720569209
138,2025-01-09 23:45:00+00:00,141049,2025-01-10 00:00:00+00:00,141050,2025-01-09 23:45:00+00:00,141050,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,92552.49,92764.54,92524.08,92637.77,240.45999999999185,141145,0.3871165801092951,0.3871165801092951,0.204547336799135,138,92517.54000000001,True,2025-01-10 00:15:00+00:00,141051.0,TP,1.5,0.19237615403810018,1.3076238459618998,0.002599074726803067,2025-01-10 01:00:00+00:00,67,2,True,True,1.3076238459618998
139,2025-01-15 03:45:00+00:00,141545,2025-01-15 04:15:00+00:00,141547,2025-01-15 03:45:00+00:00,141547,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97296.57,97430.96,97072.7,97260.96,358.2600000000093,141641,0.34180330867504355,0.34180330867504355,0.1523442408904611,139,97440.09000000001,False,,,NO_FILL,0.0,0.0,0.0,0.0036767207419452228,,67,3,True,False,0.0
140,2025-01-15 07:45:00+00:00,141561,2025-01-15 08:45:00+00:00,141565,2025-01-15 07:45:00+00:00,141565,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97386.77,97386.78,97184.61,97202.26,202.16999999999825,141657,0.3584761664241184,0.3584761664241184,0.13972319557415375,140,97303.345,True,2025-01-15 09:00:00+00:00,141566.0,TP,1.5,0.2406473388732276,1.2593526611267725,0.002077729188035604,2025-01-15 09:15:00+00:00,67,3,True,True,1.2593526611267725
141,2025-01-16 03:45:00+00:00,141641,2025-01-16 04:30:00+00:00,141644,2025-01-16 03:45:00+00:00,141644,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,99610.01,99698.7,99596.32,99600.0,102.3799999999901,141737,0.3466281736496782,0.3466281736496782,0.1596568589696258,141,99651.19,False,,,NO_FILL,0.0,0.0,0.0,0.001027383616793639,,67,4,True,False,0.0
142,2025-02-02 19:45:00+00:00,143337,2025-02-02 22:00:00+00:00,143346,2025-02-02 19:45:00+00:00,143346,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97020.56,97709.18,96980.96,97509.53,728.2199999999866,143433,0.3138100298490903,0.3138100298490903,0.2958656859170182,142,97145.42000000001,True,2025-02-02 22:30:00+00:00,143348.0,SL,-1.0,0.06670059872016822,-1.0667005987201683,0.0074961845859535785,2025-02-02 22:30:00+00:00,68,0,False,False,0.0
143,2025-02-02 23:45:00+00:00,143353,2025-02-03 03:15:00+00:00,143367,2025-02-02 23:45:00+00:00,143367,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94348.07,94688.0,94280.21,94436.0,407.7899999999936,143449,0.3389049086897856,0.3389049086897856,0.22663414174319274,143,94232.10500000001,True,2025-02-03 03:30:00+00:00,143368.0,SL,-1.0,0.11553998994580728,-1.1155399899458072,0.004327506002333213,2025-02-03 03:30:00+00:00,68,1,True,True,-1.1155399899458072
144,2025-02-12 15:45:00+00:00,144281,2025-02-12 16:30:00+00:00,144284,2025-02-12 15:45:00+00:00,144284,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,95384.61,95960.0,95363.02,95960.0,596.9799999999959,144377,0.326906529009991,0.326906529009991,0.13678631860671583,144,95661.51000000001,False,,,NO_FILL,0.0,0.0,0.0,0.006240545439853457,,69,0,False,False,0.0
145,2025-02-18 19:45:00+00:00,144873,2025-02-18 20:00:00+00:00,144874,2025-02-18 19:45:00+00:00,144874,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94104.15,94458.4,93957.61,94444.0,500.7899999999936,144969,0.32575433186972846,0.32575433186972846,0.15386290636764216,145,94193.60500000001,True,2025-02-18 20:15:00+00:00,144875.0,TP,1.5,0.09404501387807386,1.405954986121926,0.005316602968959448,2025-02-18 21:00:00+00:00,69,0,False,False,0.0
146,2025-02-25 03:45:00+00:00,145481,2025-02-25 05:45:00+00:00,145489,2025-02-25 03:45:00+00:00,145489,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,91932.0,92086.96,91850.0,92070.34,236.9600000000064,145577,0.3596467025426278,0.3596467025426278,0.2108689519045187,146,91951.85999999999,True,2025-02-25 06:00:00+00:00,145490.0,SL,-1.0,0.1940240124915545,-1.1940240124915544,0.002577000617497095,2025-02-25 06:15:00+00:00,69,1,True,True,-1.1940240124915544
147,2025-02-25 15:45:00+00:00,145529,2025-02-25 16:45:00+00:00,145533,2025-02-25 15:45:00+00:00,145533,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,87278.01,87777.0,87222.0,87460.0,555.0,145625,0.3559319442065433,0.3559319442065433,0.33925418752208913,147,87182.5,True,2025-02-25 17:00:00+00:00,145534.0,SL,-1.0,0.0785427927927928,-1.0785427927927929,0.006365956470621971,2025-02-25 19:15:00+00:00,69,2,True,True,-1.0785427927927929
148,2025-02-26 23:45:00+00:00,145657,2025-02-27 00:00:00+00:00,145658,2025-02-26 23:45:00+00:00,145658,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,84250.09,84641.51,84236.69,84333.95,404.81999999999243,145753,0.3802357965602333,0.3802357965602333,0.21907981403974022,148,84131.54000000001,True,2025-02-27 00:15:00+00:00,145659.0,TP,1.5,0.10391228200187934,1.3960877179981206,0.004811750741755023,2025-02-27 00:30:00+00:00,69,3,True,True,1.3960877179981206
149,2025-03-11 03:45:00+00:00,146825,2025-03-11 04:15:00+00:00,146827,2025-03-11 03:45:00+00:00,146827,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,79801.53,80245.02,79790.21,80097.75,454.8099999999977,146921,0.3730929211876567,0.3730929211876567,0.21220208049278544,149,79870.345,True,2025-03-11 04:30:00+00:00,146828.0,TP,1.5,0.08780627624722458,1.4121937237527755,0.005694353767972301,2025-03-11 07:15:00+00:00,70,0,False,False,0.0
150,2025-03-20 03:45:00+00:00,147689,2025-03-20 04:00:00+00:00,147690,2025-03-20 03:45:00+00:00,147690,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,85891.01,85930.39,85801.44,85825.55,128.9499999999971,147785,0.3643028231941441,0.3643028231941441,0.15440540080504772,150,85890.025,False,,,NO_FILL,0.0,0.0,0.0,0.0015013384848822327,,71,0,False,False,0.0
151,2025-03-29 19:45:00+00:00,148617,2025-03-29 23:00:00+00:00,148630,2025-03-29 19:45:00+00:00,148630,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,82389.75,82478.75,82342.0,82458.62,136.75,148713,0.3586077475509746,0.3586077475509746,0.13870556994703112,151,82390.245,False,,,NO_FILL,0.0,0.0,0.0,0.0016597838736855317,,72,0,False,False,0.0
152,2025-04-02 23:45:00+00:00,149017,2025-04-03 02:15:00+00:00,149027,2025-04-02 23:45:00+00:00,149027,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,83715.36,83748.55,83313.13,83423.04,435.41999999999825,149113,0.36269076198929356,0.36269076198929356,0.21356692777502215,152,83640.75,True,2025-04-03 02:30:00+00:00,149028.0,TP,1.5,0.09604605897753932,1.4039539410224606,0.005205835672205214,2025-04-03 12:00:00+00:00,72,0,False,False,0.0
153,2025-04-12 23:45:00+00:00,149977,2025-04-13 01:45:00+00:00,149985,2025-04-12 23:45:00+00:00,149985,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,85726.99,85812.94,85142.46,85259.77,670.4799999999959,150073,0.32014935528343585,0.32014935528343585,0.1359238238628842,153,85595.01000000001,False,,,NO_FILL,0.0,0.0,0.0,0.00783316691008034,,73,0,False,False,0.0
154,2025-04-13 03:45:00+00:00,149993,2025-04-13 04:00:00+00:00,149994,2025-04-13 03:45:00+00:00,149994,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,85432.31,85436.68,85042.26,85140.36,394.41999999999825,150089,0.32733966842081064,0.32733966842081064,0.1615044708636619,154,85337.57,False,,,NO_FILL,0.0,0.0,0.0,0.0046218799058843395,,73,0,False,False,0.0
155,2025-04-21 07:45:00+00:00,150777,2025-04-21 08:45:00+00:00,150781,2025-04-21 07:45:00+00:00,150781,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,87574.75,87650.95,87550.0,87569.28,100.94999999999709,150873,0.3486923230972856,0.3486923230972856,0.11363586055665768,155,87619.755,True,2025-04-21 09:00:00+00:00,150782.0,SL,-1.0,0.4339760029717807,-1.4339760029717807,0.0011521374374990788,2025-04-21 09:00:00+00:00,74,0,False,False,0.0
156,2025-04-22 03:45:00+00:00,150857,2025-04-22 04:45:00+00:00,150861,2025-04-22 03:45:00+00:00,150861,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,88270.54,88285.42,88021.73,88056.79,263.6900000000023,150953,0.33071908806808364,0.33071908806808364,0.13298661951806964,156,88188.635,True,2025-04-22 05:30:00+00:00,150864.0,SL,-1.0,0.16722028707952372,-1.1672202870795236,0.002990067824499181,2025-04-22 06:00:00+00:00,74,1,True,True,-1.1672202870795236
157,2025-05-30 03:45:00+00:00,154505,2025-05-30 04:30:00+00:00,154508,2025-05-30 03:45:00+00:00,154508,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,105995.1,106013.88,105904.76,106000.0,109.1200000000099,154601,0.38595168553657977,0.38595168553657977,0.2077181961046091,157,105945.44,False,,,NO_FILL,0.0,0.0,0.0,0.0010299641022776431,,75,0,False,False,0.0
158,2025-05-30 19:45:00+00:00,154569,2025-05-30 21:15:00+00:00,154575,2025-05-30 19:45:00+00:00,154575,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,104762.48,104878.05,104762.48,104807.37,115.57000000000698,154665,0.32416548460055944,0.32416548460055944,0.15232760643597315,158,104749.58499999999,True,2025-05-30 21:30:00+00:00,154576.0,SL,-1.0,0.4531867482910516,-1.4531867482910517,0.0011032979271469857,2025-05-30 21:30:00+00:00,75,0,False,False,0.0
159,2025-05-31 03:45:00+00:00,154601,2025-05-31 06:15:00+00:00,154611,2025-05-31 03:45:00+00:00,154611,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,103627.99,103704.9,103627.98,103704.9,76.91999999999825,154697,0.4168072807405896,0.4168072807405896,0.1827741535364702,159,103666.44,True,2025-05-31 06:30:00+00:00,154612.0,TP,1.5,0.6738588143525894,0.8261411856474106,0.0007419951915007234,2025-05-31 06:30:00+00:00,75,1,True,True,0.8261411856474106
160,2025-06-09 15:45:00+00:00,155513,2025-06-09 18:30:00+00:00,155524,2025-06-09 15:45:00+00:00,155524,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,108440.28,108499.99,108311.54,108379.99,188.45000000001164,155609,0.3146033235083604,0.3146033235083604,0.1325869515188859,160,108474.21500000001,True,2025-06-09 18:45:00+00:00,155525.0,SL,-1.0,0.2878063544706641,-1.2878063544706642,0.001737279223454271,2025-06-09 19:15:00+00:00,76,0,False,False,0.0
161,2025-06-25 03:45:00+00:00,157001,2025-06-25 04:00:00+00:00,157002,2025-06-25 03:45:00+00:00,157002,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,106232.01,106308.89,106164.38,106178.08,144.50999999999476,157097,0.3494582852042531,0.3494582852042531,0.14114105644632363,161,106250.33499999999,True,2025-06-25 04:15:00+00:00,157003.0,TP,1.5,0.3676227769704652,1.1323772230295348,0.0013600898293637828,2025-06-25 04:30:00+00:00,77,0,False,False,0.0
162,2025-06-26 03:45:00+00:00,157097,2025-06-26 04:15:00+00:00,157099,2025-06-26 03:45:00+00:00,157099,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,107823.49,107852.13,107741.3,107776.19,110.83000000000175,157193,0.37028147800200767,0.37028147800200767,0.13723700217519325,162,107831.60500000001,True,2025-06-26 04:30:00+00:00,157100.0,TP,1.5,0.4864729991879379,1.013527000812062,0.0010278062725673214,2025-06-26 05:30:00+00:00,77,1,True,True,1.013527000812062
163,2025-06-30 03:45:00+00:00,157481,2025-06-30 04:00:00+00:00,157482,2025-06-30 03:45:00+00:00,157482,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,108503.74,108538.76,108481.77,108498.26,56.98999999999069,157577,0.38170505898482526,0.38170505898482526,0.12925968265447213,163,108526.75499999999,False,,,NO_FILL,0.0,0.0,0.0,0.0005251239659749404,,77,2,True,False,0.0
164,2025-07-01 23:45:00+00:00,157657,2025-07-02 00:00:00+00:00,157658,2025-07-01 23:45:00+00:00,157658,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,105681.13,105736.75,105600.0,105724.15,136.75,157753,0.4228540253809709,0.4228540253809709,0.13022675525227245,164,105655.775,True,2025-07-02 00:15:00+00:00,157659.0,SL,-1.0,0.3863099634369287,-1.3863099634369287,0.0012942974484830574,2025-07-02 00:45:00+00:00,77,2,True,True,-1.3863099634369287
165,2025-07-02 03:45:00+00:00,157673,2025-07-02 04:00:00+00:00,157674,2025-07-02 03:45:00+00:00,157674,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,106194.7,106253.93,106152.01,106219.61,101.91999999999825,157769,0.4355152481916725,0.4355152481916725,0.15354315360803972,165,106168.65,True,2025-07-02 04:15:00+00:00,157675.0,TP,1.5,0.520843063186822,0.979156936813178,0.0009599820662690753,2025-07-02 04:45:00+00:00,77,3,True,True,0.979156936813178
166,2025-07-03 11:45:00+00:00,157801,2025-07-03 12:00:00+00:00,157802,2025-07-03 11:45:00+00:00,157802,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,109599.18,109638.12,109477.04,109570.43,161.08000000000175,157897,0.356791642991418,0.356791642991418,0.10059390391464419,166,109650.97,True,2025-07-03 12:30:00+00:00,157804.0,SL,-1.0,0.3403618388378409,-1.3403618388378409,0.0014690248522197455,2025-07-03 12:30:00+00:00,77,4,True,True,-1.3403618388378409
167,2025-08-07 23:45:00+00:00,161209,2025-08-08 00:15:00+00:00,161211,2025-08-07 23:45:00+00:00,161211,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,117372.37,117372.38,116870.21,117132.17,502.16999999999825,161305,0.330023951096191,0.330023951096191,0.1314377240218122,167,117383.255,True,2025-08-08 00:30:00+00:00,161212.0,TP,1.5,0.11687601310313284,1.3831239868968672,0.004278037783157386,2025-08-08 05:00:00+00:00,78,0,False,False,0.0
168,2025-08-09 11:45:00+00:00,161353,2025-08-09 12:30:00+00:00,161356,2025-08-09 11:45:00+00:00,161356,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,117172.03,117184.13,117010.0,117033.7,174.13000000000466,161449,0.3243118959142401,0.3243118959142401,0.14170038824548087,168,117120.765,True,2025-08-09 12:45:00+00:00,161357.0,TP,1.5,0.33630266180439006,1.16369733819561,0.0014867559992457755,2025-08-09 14:00:00+00:00,78,1,True,True,1.16369733819561
169,2025-08-10 07:45:00+00:00,161433,2025-08-10 09:30:00+00:00,161440,2025-08-10 07:45:00+00:00,161440,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,118270.0,118270.01,118110.64,118110.64,159.36999999999534,161529,0.3296749807494306,0.3296749807494306,0.1947273749204372,169,118190.325,True,2025-08-10 09:45:00+00:00,161441.0,SL,-1.0,0.37080480956266376,-1.3708048095626637,0.001348418324427108,2025-08-10 09:45:00+00:00,78,2,True,True,-1.3708048095626637
170,2025-08-18 07:45:00+00:00,162201,2025-08-18 09:45:00+00:00,162209,2025-08-18 07:45:00+00:00,162209,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,115019.37,115135.29,114968.13,115038.46,167.15999999998894,162297,0.36269964297528473,0.36269964297528473,0.19910355185844025,170,114954.88,False,,,NO_FILL,0.0,0.0,0.0,0.0014541357443893547,,79,0,False,False,0.0
171,2025-08-18 11:45:00+00:00,162217,2025-08-18 12:45:00+00:00,162221,2025-08-18 11:45:00+00:00,162221,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,115331.13,115520.0,115200.0,115519.99,320.0,162313,0.38085369811068,0.38085369811068,0.16056813700692746,171,115359.99,True,2025-08-18 13:30:00+00:00,162224.0,SL,-1.0,0.180249984375,-1.180249984375,0.0027739253444803522,2025-08-18 13:45:00+00:00,79,0,False,False,0.0
172,2025-08-19 07:45:00+00:00,162297,2025-08-19 08:00:00+00:00,162298,2025-08-19 07:45:00+00:00,162298,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,114978.15,115049.99,114804.0,115040.01,245.99000000000524,162393,0.3640688889304938,0.3640688889304938,0.1518047496165436,172,114917.01499999998,True,2025-08-19 08:30:00+00:00,162300.0,TP,1.5,0.23358066384811893,1.266419336151881,0.0021405881452803595,2025-08-19 08:45:00+00:00,79,1,True,True,1.266419336151881
